title,tag,artist,year,views,features,lyrics,id,language,image_url
Post On The Block,rap,Richie Bux,2017,196,"ZOTiYAC,Mikey PX","
It's the black big , she got the double barrel held in the Chevy
Brought all my warriors, they'll take ya ho to ya, for ya
Sorry she part of the team, I off a beam
Mikey, he likely to hit you, you not my boy stay with the beam
One to my shooter, the Luger from Russia
I turn to  and then take the bust and I'm in now she cussing
Reaching for nothing, treat her like nothing
Nut in that mouth like she nothing
Swisher on swisher, pass me the liquor
I'm  I pill popped the bitch like I'm Will (?)
Henny on Henny, Remy on Remy
Simmie he with me so nigga don't tempt me
I pray everyday, keep the drama away
Put somehow these pussies keep coming my way
Nigga you at me, I sent you addy
Me and my niggas, that's sad


Watch how we post on the block
Watch how we post on the block
Post on the block, watch how we post on the block
Watch how we post on the block
Post on the block, watch how we post on the block
Watch how we post on the block
Post on the block, watch how we post on the block
Watch how we post on the block
That's all our heart, watch how we post on the block
Watch how we post on the block, that's all our heart

I'm dumping the hammer
He better hope ""God it won't jam up""
Bitch nigga stand up, I break my foot in yo ass
The bricks don't stop, been a 
Bitch nigga man up
Just shop and count up blue hunnids
They got they , they can't stand 'em
Well I can't stand 'em
Bitch, make your jaws on this choppa
It eat at your throat like it's cancer
I got my bands up
I did this shit on my own bitch
Yo girl suck my dick yeah I'm handsome
Yeah bitch I'm handsome
Watch how I post on the (aye)
Watch how I post on the (aye)


Watch how we post on the block
They tell me green light, I'm gon' go with the Glock
Don't duck when I aim, bitch you 'posed to get shot
I'm the youngest insane, and they taught me a lot
We not one in the same, niggas know you ain't 'bout it
You said you do damage, lil nigga I doubt it
I make some thousands, might move to the islands
'Cause fuck the whole world 'cause I can't get about it, I told him
Where you come from is gon' mold you
Did this on my own what the fuck do I owe you, don't know you
Please don't pretend, I'll expose you
We make niggas fold when we whip out them vocals
The Draco not nervous it talk like it social
Say you my master I gotta come smoke you
Who the realer nigga, that's not in question
'Cause you see the real in me when I approach you
Strap on my shoulder, leave blood on the sofa
This shit for the soap up, bitch hold all the clips
If I listened to you, then I wouldn't be shit
They look at me pissed 'cause they couldn't be this
80 1 6 bitch I come from the mix
Make that 1 8 7 if you get me a
I get the drop then the bodies get dropped
While you post on them apps, we just post on the block",4747973,en,https://images.genius.com/420b62c49ef2251ad781adfd287ffcf6.725x725x1.jpg
Love May Be Blind,pop,Spektralized,2003,107,,"Sweet as a flower,tasteful as ever
So pick a color to keep inside your hart
If its a sad one,then pick a noter one with time
Then maybe things will rime

Oh its hard to keep,love that comes out sheep
Its hard to say good by,love may be blind
Spelling words in rimes,can't keep up the time
Its hard to say good by,love may be blind!

Dreaming desire,that takes me higher
You have my power to keep in side your hart
Screeming desire,has blown away and now its gone
Pleas telle me what went wrong

Oh its hard to keep,love that comes out sheep
Its hard to say goodbye,love may be blind
Spelling words in rimes,can't keep up the time
Its hard to say goodbye,love may be blind!",882232,en,https://images.genius.com/d45412e6f15dc37617ae1cc5dc2eb596.1000x1000x1.jpg
Broke,rap,The MC Correct,2017,28,,":

Sittin' with a dutch that i just rolled up
In the car hoping 5-0 don't show up
Always stuck in the future, thinking 'bout the distant
So i miss the present but I'll get it next Christmas
Marijuana/mediaction really what's the difference
No such thing alchohol as a  prescription
Take over your mind, that's a complex mission
Spit over these beats like automatic ammunition, listen
I'm the boss now i made executive decisions
I didn't get anywhere just praying and wishing
I said I'ma get it done and now i'm bumping in your system
Dedication,never hatin'
And they waiting patiently for the day they can get to me
Cause with the heat i spit it keeps'em at bay but eventually...
Until then i'm still breaking the beat
Grind it up like Gs that they roll in the street
That's CORRECT
No I ain't play with them
I stayed inside lyrics dripped from my pen
In my mind i know every line is a sin
But my rhymes are so nice i rewind them and then
All my pride is convinced, i really spit gems
I compacted the flow now i really get it in
So i guess
Only diamonds when i'm rhyming
And if you smoke bud then we can be friends

I could write about the typical.. i'm from a poor... crime filled neighborhood...raised by a single mother don't know my dad blah blah it's cliche...this here... this... this is... this is creative... this shows that i'm different...(different)

:
I just feel like i can't take no more
Cause i'm already broke, can't break no more
We just feel like we can't take no more
Cause we're already broke, can't break no more
No more, no more, no more, no more (no more, no more)
No more, no more, no more, no more (no more)
No more (no no no)
I just feel like i can't take no more
Cause i'm already broke, can't break no more
We just feel like we can't take no more (can't take it)
Cause we're already broke, can't break no more
No more, no more
No more, no more, no more
No more, no more, no more

:
I'm back on the beat, back on my feet
Ain't have a job i was back on these streets
I was baggin' them Gs this is madness to me
All of these ashes just happen to be
Not from tabacco, but yea it's a leaf
Light that shit man I need some relief
You'll smoke more than one if you're smoking with me
I'm not addicted I just know what I need
Here we go, i'm about that action
I do what you won't and that's why i'm the captain
I'm talking coast to coast, people know i'm rapping
I'ma go for broke, i'ma make it happen
No time for games unless i'm playing madden
No time for lames ya gotta be down
My whole crew about to run this town
Killed our fears nothin' to run from now
All my haters trippin like i won't make a livin
Off puttin them to sleep, like i was a dentist
You ain't get it, got a pencil in my left fist
Check this, you already know i'm wreckless
I wreck this, i'ma aim for your neck with
These verses like right above your necklace
I wreck this, i'ma aim for your neck with
These verses like right above your necklace
I'm ill.....
I'ma go for broke
I'ma go for broke",2969878,en,https://images.genius.com/1dd1b4dee1d8e64ed766b160af9e1628.800x800x1.jpg
Disincarnate,rock,Ease of Disgust,2010,13,,"The time to wake up is now!
Open your mind and wipe eternal sleep off your faded eyes enveloped in the ignorance
The howl of arms will destroy and smash the glass cradle of your dreams full of delusion
And our despair causes the global fear which gains its power

The wave of outrage
Forms the new politics of terror
And dictates its own will to you

Remnants of souls will suffocate in blazing fire of genocide!

You hear new command from the jaws of war and
Your blinded mind is reprogrammed
To kill
To destroy
To sell your own feelings
Just to be a silent puppet in their hands!

Do you feel the smell of this cutting lie?
It twists your flesh with its sharpened claws
You've got no life
You're disincarnate
You've got no soul
You are...

We destroyed ourselves, and consumed our lives in this world of corruption and graceless demise
We destroyed our future and brought up the pain, we are disease of this planet, we are insane!",4166601,en,https://images.genius.com/19e38149089c1da91dc27e8f05e431e3.700x700x1.jpg
Aint No Rock,pop,MercyMe,1998,2014,,"Ain't no rock, gonna cry in my place
As long as I'm alive I'll glorify his holy name
(REPEAT)

CHORUS
Everybody praise his holy name
As long as I'm alive I'll glorify his holy name
(REPEAT)

Ain't no bird, gonna flap it's feathers
As long as I'm alive I'll glorify his holy name
(REPEAT)

(CHORUS)
Ain't no tree, gonna wave it's branches
As long as I'm alive I'll glorify his holy name
(REPEAT)

(CHORUS)
Ain't no rock, gonna cry in my place
Long as I'm alive, I'll glorify his holy name
(REPEAT)
(CHORUS 2X)",1440760,en,https://images.genius.com/00bbd0e78ad35732bf3d612cae0dfaeb.599x599x1.jpg
Misty,pop,Chris Connor,1959,36,,"Look at me
I'm as helpless as a kitten up a tree
Ah, I'm walkin' on a cloud
I can't understand, Lord
I'm misty holdin' your hand

Walk my way
And a thousand violins begin to play
Or it might be the sound of your ""hello""
That music I hear, Lord
I'm misty the moment you're near

You can say that you're leadin' me on
But it's just what I want you to do
Don't ya notice how hopelessly I'm lost
That's why I'm followin' you

Ooh, on my own
Should I wander through this wonderland alone, now
Never knowin' my right foot from my left
My hat from my glove, Lord
I'm misty, and too much in love
You can say that you're leadin' me on
But it's just what I want you to do
Don't ya notice how hopelessly I'm lost
That's why I'm followin' you

Ooh, on my own
Should I wander through this wonderland alone, now
Never knowin' my right foot from my left
My hat from my glove, Lord
I'm misty, and too much in love

(Misty) too much in love
(Misty) too much in love
(Misty)
(Misty) too much in love",1237453,en,https://images.genius.com/fde63528341960b55d7c7eb4bde23a0d.492x494x1.jpg
Stay Down,rap,A Too Lyrical,2021,17,Fy Furioso,"Hook
I'm just trynna stay down till I come up
I be on the grind working when the sun up
Cause I remember all them days I was dead broke
Now I’m trynna find myself gotta find hope

Back then they ain't believe in me
Now they all wanna be with me
Cause they know that Im focused
And now everybody notice



Verse
I'm staying down cause I remember times when I took a lost
When I wanted to be up these haters want me to fall
They wasn’t picking up the phone when I gave em a call
Now I'm coppin me some forces when I hop in the mall

I had to clean up and save me some bread
I was down on my last I had to worry about getting ahead
This ain't where I wanna be but I'm planning now
Gotta watch your day ones cause they the ones that count you out
I pay em no mind cause at the end I got a family to feed
I'm a kid myself that's why I'm not planning a seed
I need me a vaca so I'm planning to breathe
I’m making moves on my own these haters hating on me

But I watch out
They just take my kindness for weakness that’s a cop out
They gon start blowing up my phone when I pop out
When I pull that brand new 2021 drop out


Hook

Verse 2
(Fy Furioso)

Ayo, loyalty is thin and I know that
So if you cross me you loss me ***** I don't go back
I’m a horse like Bojack
For them M's keep ya friends in the lens like Kodak
Know that I heard the rumors and the back biting
I'm back writing I'm a dog and they cat fighting
I snap like it in they feelings and they back typing
I’m real they ain't real they just act like it
Perpetrators, impostors I'm wit the playas and mobsters
Man the game ain't the same so I change up my roster
Man I hang wit my choppa and I think of my father
And I think of blackin' out when I'm drinking this vodka
They two faced it I'm dodging all new cases
These blue faces I'm tying up my shoelaces
A few patience cause these f****n dudes hatin
Remove Satan
(Hook)",6739331,en,https://assets.genius.com/images/default_cover_image.png?1697817458
Denial,rock,Rue Snider,2016,21,,"
Johanna said there is a better way than losing my mind on alcohol
I didn't yell in her face like I wanted to
It's pretty hard to behave myself when I can't find my way at all
Stumblin' down 14th Street with something to prove


Tried to love for a stretch thinking hearts could be true
I learned after a time that's not something you choose


Downtown is where I've gotta be cuz that's where the most women are
At least the kind of girls I wanna find
I wanna party all night long but not inside of a crowded bar
I need something to get her off of my mind


I'll take some drugs for a stretch then drink some booze
I'm resigned in my mind to thoughts that are cruel


I don't wanna be told to stop blaming
I don't wanna be told to stop taking drugs
I don't wanna be told to stop drinking alcohol

There was the love then the drugs then the drinking ensued
When there's wine on your mind everything seems pretty cool",3292028,en,https://images.genius.com/acfc9d206686c473e9ec098bc77a9a10.500x500x1.jpg
A Metrical Accident,misc,Samuel Taylor Coleridge,2013,6,,"Then Jerome did call   a
From his flame-pointed Fence;   b
Which under he trod,   c
As upward to mount   d
From the fiery flood,—e


'I summon you all,   a
A hundred years hence,   b
To appear before God,   c
To give an account   d
Of my innocent blood!'   e",168116,en,https://images.genius.com/ef57ae64b024f0b0fa7f91e9c766352a.835x1000x1.jpg
Truth,rock,Bury Them Deep,2019,10,,"Enforce! Hate! Abuse! Violate!
Rape! Kill! Small, blue, and with a badge
Fighting the struggle to breathe in
No civil rights within
This wall of power where only they can win
Enforce teachings that make them kill
To exercise their will
Their will of righteous bigotry
Enforce! Hate! Abuse! Violate!
Rape! Kill! Small, blue, and with a badge
Face down is the structure that we live
Most abusive always wins
Just give them a gun, a badge, a right
Watch them go for the kill
For putting up a fight
Or running a red light
For being the wrong fucking skin type
Blame is the game that they play
The fucking media is all same
They have us watch it over, and over, and over again
They managed to win this case
The ball is in it's place
It’s revolution now they must face
Enforce! Hate! Abuse! Violate!
Rape! Kill! Small, blue, and with a badge",4428294,en,https://assets.genius.com/images/default_cover_image.png?1697817458
Knots,rap,D Savage,2019,3901,,"
Parker Parker


(Yeah, ayy), I've been gettin' to these knots
While your Rolex tick and tock
Good dope make your heart stop
Makin' plays inside the trap
I'ma whip it 'til it lock
Junkies say we got that A1 so I keep this shit on lock
I just hopped up in the stu'
I'm gon' do what I do
I got snipers on the roof
I got bitches by the two
I got brothers, not no homies 'cause you pussy niggas fu' (Ayy)
Put him in the news (Ayy)
Knock him out his shoes (Ayy)


Uh, I'm so fresh, I'm so clean
I got racks in my jeans
All I speak is guapanese
Stealin' my sauce, copyin' me
Niggas too soft, niggas ain't G
Watch what you say when you talkin' to me
Bitch, I'm a dog, I just gotta eat
You ain't my dawg, you fuck with police (Ayy)

(Yeah, ayy), I've been gettin' to these knots
While your Rolex tick and tock
Good dope make your heart stop
Makin' plays inside the trap
I'ma whip it 'til it lock
Junkies say we got that A1 so I keep this shit on lock
I just hopped up in the stu'
I'm gon' do what I do
I got snipers on the roof
I got bitches by the two
I got brothers, not no homies 'cause you pussy niggas fu' (Ayy)
Put him in the news (Ayy)
Knock him out his shoes (Ayy)


Money and the power, ooh, gotta have respect
I bust down my chain, bitch, look at the neck
Bitch, I'm up now, nigga, fuck next
I want the neck, I don't want the sex
Hop in the stu', go to work on the best
I can't save a thot, no S on my chest
Bitch, I've been workin', I can't get no rest (Ayy)


(Yeah, ayy), I've been gettin' to these knots
While your Rolex tick and tock
Good dope make your heart stop
Makin' plays inside the trap
I'ma whip it 'til it lock
Junkies say we got that A1 so I keep this shit on lock
I just hopped up in the stu'
I'm gon' do what I do
I got snipers on the roof
I got bitches by the two
I got brothers, not no homies 'cause you pussy niggas fu' (Ayy)
Put him in the news (Ayy)
Knock him out his shoes (Ayy)",4727316,en,https://images.genius.com/21e3628ee8e8a581da4373590b528eb9.1000x1000x1.png
The Papers And Writings Of Abraham Lincoln-VOL. VI Chap. 2.77,misc,Abraham Lincoln,2013,1,,"Generals Lost

Telegram To General D. Butterfield.

WASHINGTON, D. C., May 3, 1863. 4.35 P.M.

MAJOR-GENERAL BUTTERFIELD:

Where is General Hooker? Where is Sedgwick Where is Stoneman?

A. LINCOLN.",163900,en,https://images.genius.com/81fa75ba555ff23a8ccc93f98dffbf3a.333x500x1.jpg
Midas Touch,rock,The Red Chord,2007,207,,"Once it starts, it won't stop
Temper, Temper
Here that sound? That's reality coming down
I would have said so already if I could think of worse words
Prepare for war
You are over run
This is our house
I'll be a kid all that I want
Grow the fuck up
That's what were told
Sinking down to
Watch it gold man
Start the reckon collect your teeth
Go have them bronzed
Let me tell you something about the way you think
You're wrong plain and simple
And I'd break my legs if I tried to sink down to your level
Be careful, you might get what you wish for
You don't think I know where you came from
You don't think I know
You want to live and die by the sword
Be careful what you wish for
You don't think I know where you came from
Go have them bronzed to remember
I'll try to put it in terms that you can understand
The way you think is so fucking stupid
I'll try to comprehend
Just try it
Break my legs
Eat my arms
This is our house
On the attack
You're over run
It never ends",1187963,en,https://images.genius.com/2403d5fe3c57af76e4887bee0369418b.800x800x1.png
A Drop Of Blood,pop,Climate,2021,2,,"The shallow cells are upended
A drop of blood and a warrant
Not this time

The daughter's featureless visage
The garden empty at morning
Two hands tied

Tender
Tender the fallen frame
Under
Under the polished blade

Tender
Tender the fallen frame
Under
Under the polished blade

We nevеr liked that face
A cinder in thе flame
A lack of light
In the night
Falls at our feet
A little compromise
A set of hidden thighs
A stack of sighs
Make it right
Under the sheets

We said it's just a phase
But you never could keep pace
Keep that sweet look
And that sweet tooth
In your face

Bloodline in slow decay
We launched a slow decay
A splinter on the rain
Bruised eyes, cry all night
Hands below cheeks

Perpender
Survive the cinder frame
Above remnants of our decay

Perpender
Survive the cinder frame
Above the remnants of decay
The shallow cells are upended
A drop of blood and a warrant
Not this time",6390761,en,https://images.genius.com/ae6d3f6535b2c4d8d8f6ced60984a5c8.1000x1000x1.png
Oh Its Lit,rap,Fat Nick,2016,20191,Lil Peep,"
The fuck is that?


While I sip designer drugs
And I'm-
While I sip designer drugs
And I'm-
While I sip designer drugs
And I'm still packin' shakes
Like all my motherfuckin' scrubs
While I sip designer drugs
And I'm-
While I sip designer drugs
And I'm-
While I sip designer drugs
And I'm still packin' shakes
Like all my motherfuckin' scrubs
While I sip designer drugs
And I'm-
While I sip designer drugs
And I'm-
While I sip designer drugs
And I'm still packin' shakes
Like all my motherfuckin' scrubs
Now hit the pit and fuck it up

Pull up stuntin', do no cardio, my diamonds dance
2-2-4, we shoot 'em, give no fucks, gon' smoke his ass
Rick Owens, toe stepping, dropping bands, yeah, rich and reckless
I just bought some VVSs, crumb and cut my necklace
Bitch, I know to hold Uzi hold a fucking hundred rocks
I drink syrup, I pop a Percs, I'm breaking hearts, I'm rich and bold
All designer head to toe, your main bitch loving me
Snort a Roxy, then pop three, swept me off my feet
Tip toe, Margiela prints on all my floors
10K, neck froze, all these hollows, let 'em go
30 in my shit, extended dick, gon' let it rip
I don't give a fuck, piece of shit, just rest in piss


While I sip designer drugs
And I'm still packin'-
While I sip designer drugs
And I'm-
While I sip designer drugs
And I'm still packin' shakes
Like all my motherfuckin' scrubs
Now hit the pit and fuck it up
While I sip designer drugs
And I'm-
While I sip designer drugs
And I'm-
While I sip designer drugs
And I'm still packin' shakes
Like all my motherfuckin' scrubs
Now hit the pit and fuck it up

Blood on my wrist, you don't give your bitch shit
I got love for your bitch, I got mud for your bitch
Blood on my wrist, you don't give your bitch shit
I got love for your bitch, I got mud for your bitch, ayy
Lil Peep shawty, bitch, I feel like Fat Nick, ayy
Lil Peep shawty, I got diamonds on my lip
I got hoes on my dick, I need rims on my whip
Bitch, I cry every night, and I'm pretty like a bitch, woo!
Pretty like a bitch on my Based World shit, ayy
Shout out Lil B, I can never be a snitch, ayy
Shout out to the bay, and the south, Triple 6
Yelling ""Fuck Donald Trump,"" he ain't really with the shits


While I sip designer drugs
And I'm still packin'-
While I sip designer drugs
And I'm-
While I sip designer drugs
And I'm still packin' shakes
Like all my motherfuckin' scrubs
Now hit the pit and fuck it up
While I sip designer drugs
And I'm-
While I sip designer drugs
And I'm-
While I sip designer drugs
And I'm still packin' shakes
Like all my motherfuckin' scrubs
Now hit the pit and fuck it up",2898749,en,https://images.genius.com/e0cfd83b6758e1e30a1bb08f5442995a.500x500x1.jpg
IDEK,rap,Amias2,2020,16,,"
I don't even know
Where she wanna go
Too much on her plate (aye)
Just like Dominoes
Tryna' get away
Say she need her space
All about her money
Get the fuck up out her face


Baby why play play play
Shawty swing my way way way
We don't have to waste the day on nothin'
We could chill in bed or smoke or some thin'


I don't even know
Where she wanna go
Too much on her plate (aye)
Just like Dominoes
Tryna' get away
Say she need her space
All about her money
Get the fuck up out her face

Fuck up out her face with the bullshit yuh
I know that she wanna get away
She don't even trust me anyway
So what you say


I don't even know
Where she wanna go
Too much on her plate (aye)
Just like Dominoes
Tryna' get away
Say she need her space
All about her money
Get the fuck up out her face",5240804,en,https://assets.genius.com/images/default_cover_image.png?1697817458
Do It For Me,pop,Rosenfeld,2018,42616,,"
Show me how
Show me how you like it done
You're all mine
I'll make you feel like you're the one


Take off your clothes
Give me your trust
Look me in the eyes and confess your lust
Get on your knees
Beg me to stop


I promise I'll love you if you do it
So do it for me


Give me your hand
I'll show you things you've never done
Hold my head
I'll make you feel like never before

Take off your clothes
Give me your trust
Look me in the eyes and confess your lust
Get on your knees
Beg me to stop


I promise I'll love you if you do it
So do it for me


Say my name
All I wanna do is hear you scream in pain
Say my name


I promise I'll love you if you do it
So do it for me
(So do it for me)
(So do it for me)",4006545,en,https://images.genius.com/8731b5c9e8250d2b5faba983b42a2303.1000x1000x1.jpg
